season,athlete_id,athlete_display_name,team_id,ncaa_id_team,standardized_team_name,team,possible_team_name,team_state_long,team_state,conference_short_name,conference_name,groups_id_wehoop_espn,games_played,first_game,last_game
2026,5311856,Aliyahna Morris,25,107,California,California,California,California,CA,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5178591,Anastasia Drosouni,25,107,California,California,California,California,CA,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,4899413,Claudia Langarita,25,107,California,California,California,California,CA,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5124078,Gisella Maul,25,107,California,California,California,California,CA,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5311855,Grace McCallop,25,107,California,California,California,California,CA,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5311854,Isis Johnson-Musah,25,107,California,California,California,California,CA,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5239495,Lola Donez,25,107,California,California,California,California,CA,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5178589,Lulu Twidale,25,107,California,California,California,California,CA,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5174270,Mjracle Sheppard,25,107,California,California,California,California,CA,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5105749,Naya Ojukwu,25,107,California,California,California,California,CA,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,4433745,Sakima Walker,25,107,California,California,California,California,CA,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5239498,Sofia Bowes,25,107,California,California,California,California,CA,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5311853,Taylor Barnes,25,107,California,California,California,California,CA,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5311958,Amaia Jackson,228,147,Clemson,Clemson,Clemson,South Carolina,SC,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,4596343,Demeara Hinds,228,147,Clemson,Clemson,Clemson,South Carolina,SC,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5107597,Hadley Periman,228,147,Clemson,Clemson,Clemson,South Carolina,SC,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5176511,Hannah Kohn,228,147,Clemson,Clemson,Clemson,South Carolina,SC,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5311957,Holland Harris,228,147,Clemson,Clemson,Clemson,South Carolina,SC,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5312088,Ja'Kerra Butler,228,147,Clemson,Clemson,Clemson,South Carolina,SC,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5175410,Mia Moore,228,147,Clemson,Clemson,Clemson,South Carolina,SC,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5106190,Morgan Lee,228,147,Clemson,Clemson,Clemson,South Carolina,SC,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5238275,Morgan Miller,228,147,Clemson,Clemson,Clemson,South Carolina,SC,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,4899622,Rachael Rose,228,147,Clemson,Clemson,Clemson,South Carolina,SC,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5107910,Raven Thompson,228,147,Clemson,Clemson,Clemson,South Carolina,SC,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5174417,Rusne Augustinaite,228,147,Clemson,Clemson,Clemson,South Carolina,SC,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5109046,Taylor Johnson-Matthews,228,147,Clemson,Clemson,Clemson,South Carolina,SC,ACC,Atlantic Coast Conference,2,25,2025-11-03,2026-02-08
2026,5311971,Anna Wikstrom,150,193,Duke,Duke,Duke,North Carolina,NC,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5238276,Arianna Roberson,150,193,Duke,Duke,Duke,North Carolina,NC,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5106232,Ashlon Jackson,150,193,Duke,Duke,Duke,North Carolina,NC,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5174409,Delaney Thomas,150,193,Duke,Duke,Duke,North Carolina,NC,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5311970,Emilee Skinner,150,193,Duke,Duke,Duke,North Carolina,NC,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5106233,Emma Koabel,150,193,Duke,Duke,Duke,North Carolina,NC,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5108593,Hailey Johnson,150,193,Duke,Duke,Duke,North Carolina,NC,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5174407,Jadyn Donovan,150,193,Duke,Duke,Duke,North Carolina,NC,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5174410,Jordan Wood,150,193,Duke,Duke,Duke,North Carolina,NC,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5195636,Olivia Martin,150,193,Duke,Duke,Duke,North Carolina,NC,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,4894357,Riley Nelson,150,193,Duke,Duke,Duke,North Carolina,NC,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5106222,Taina Mair,150,193,Duke,Duke,Duke,North Carolina,NC,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5238277,Toby Fournier,150,193,Duke,Duke,Duke,North Carolina,NC,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,4705046,Allie Kubek,52,234,Florida State,Florida State,Florida St.,Florida,FL,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,4698729,Amaya Bonner,52,234,Florida State,Florida State,Florida St.,Florida,FL,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5174414,Avery Treadwell,52,234,Florida State,Florida State,Florida St.,Florida,FL,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5174673,Emma Risch,52,234,Florida State,Florida State,Florida St.,Florida,FL,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,4682765,Jasmine Shavers,52,234,Florida State,Florida State,Florida St.,Florida,FL,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5311989,Mari Gerton,52,234,Florida State,Florida State,Florida St.,Florida,FL,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5311990,Pania Davis,52,234,Florida State,Florida State,Florida St.,Florida,FL,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5174305,Sole Williams,52,234,Florida State,Florida State,Florida St.,Florida,FL,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,4565518,Sydney Bowles,52,234,Florida State,Florida State,Florida St.,Florida,FL,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5238274,Tatum Greene,52,234,Florida State,Florida State,Florida St.,Florida,FL,ACC,Atlantic Coast Conference,2,24,2025-11-03,2026-02-08
2026,5238291,Anaya Hardy,97,367,Louisville,Louisville,Louisville,Kentucky,KY,ACC,Atlantic Coast Conference,2,26,2025-11-04,2026-02-08
2026,5174420,Elif Istanbulluoglu,97,367,Louisville,Louisville,Louisville,Kentucky,KY,ACC,Atlantic Coast Conference,2,26,2025-11-04,2026-02-08
2026,5312384,Grace Mbugua,97,367,Louisville,Louisville,Louisville,Kentucky,KY,ACC,Atlantic Coast Conference,2,26,2025-11-04,2026-02-08
2026,5238288,Imari Berry,97,367,Louisville,Louisville,Louisville,Kentucky,KY,ACC,Atlantic Coast Conference,2,26,2025-11-04,2026-02-08
2026,5238292,Isla Juffermans,97,367,Louisville,Louisville,Louisville,Kentucky,KY,ACC,Atlantic Coast Conference,2,26,2025-11-04,2026-02-08
2026,5107515,Laura Ziegler,97,367,Louisville,Louisville,Louisville,Kentucky,KY,ACC,Atlantic Coast Conference,2,26,2025-11-04,2026-02-08
