athlete_id,athlete_display_name,team_id,team_name,team_display_name,team_location,athlete_position_name,athlete_position_abbreviation,games_played,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,points,games_started,team_score,opponent_team_score,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,points_per_40,rebounds_per_40,assists_per_40,steals_per_40,blocks_per_40,turnovers_per_40,fg_pct,three_pt_pct,ft_pct,efg_pct,ts_pct,best_ap_rank,is_ap_top25,height_inches,class_year,roster_position,previous_school,is_redshirt,conference,division,team_state,hometown_clean,state_clean,country_clean,year_numeric,is_transfer,team_state_long,is_homestate_transfer,is_hometown_transfer
5312437.0,Amani Jenkins,259,Hokies,Virginia Tech Hokies,Virginia Tech,Forward,F,15,100.0,10.0,16.0,0.0,0.0,3.0,7.0,13.0,17.0,30.0,5.0,7.0,5.0,7.0,12.0,23.0,0,76.1,57.3,6.7,1.5,2.0,0.3,0.5,0.3,0.5,9.2,12.0,2.0,2.8,2.0,2.8,62.5,,42.9,62.5,60.3,9.0,True,75.0,Freshman,FORWARD,,False,ACC,I,VA,"JOHNSTON, IOWA",IA,USA,1.0,False,Virginia,False,False
5312438.0,Aniya Trent,259,Hokies,Virginia Tech Hokies,Virginia Tech,Forward,F,29,286.0,24.0,38.0,0.0,0.0,3.0,11.0,22.0,49.0,71.0,9.0,10.0,16.0,18.0,46.0,51.0,0,73.2,60.8,9.9,1.8,2.4,0.3,0.3,0.6,0.6,7.1,9.9,1.3,1.4,2.2,2.5,63.2,,27.3,63.2,59.5,9.0,True,75.0,Freshman,FORWARD,,False,ACC,I,VA,"SPRINGBORO, OHIO",OH,USA,1.0,False,Virginia,False,False
5312734.0,MD Ntambue,222,Wildcats,Villanova Wildcats,Villanova,Guard,G,25,272.0,15.0,42.0,2.0,6.0,5.0,9.0,11.0,19.0,30.0,27.0,15.0,0.0,21.0,25.0,37.0,0,71.2,61.6,10.9,1.5,1.2,1.1,0.6,0.0,0.8,5.4,4.4,4.0,2.2,0.0,3.1,35.7,33.3,55.6,38.1,40.3,10.0,True,69.0,Freshman,GUARD,,False,Big East,I,PA,"MONTREAL, CANADA",,CANADA,1.0,False,,False,False
5312736.0,Brooke Bender,222,Wildcats,Villanova Wildcats,Villanova,Forward,F,32,489.0,55.0,132.0,41.0,114.0,1.0,1.0,23.0,59.0,82.0,13.0,21.0,6.0,15.0,28.0,152.0,0,71.8,61.4,15.3,4.8,2.6,0.4,0.7,0.2,0.5,12.4,6.7,1.1,1.7,0.5,1.2,41.7,36.0,100.0,57.2,57.4,10.0,True,73.0,Freshman,FORWARD,,False,Big East,I,PA,"WHITEHOUSE, OHIO",OH,USA,1.0,False,,False,False
5312737.0,Kennedy Henry,222,Wildcats,Villanova Wildcats,Villanova,Guard,G,31,893.0,109.0,266.0,39.0,128.0,22.0,31.0,35.0,98.0,133.0,86.0,72.0,28.0,52.0,70.0,279.0,31,70.9,61.8,28.8,9.0,4.3,2.8,2.3,0.9,1.7,12.5,6.0,3.9,3.2,1.3,2.3,41.0,30.5,71.0,48.3,49.9,10.0,True,72.0,Freshman,GUARD,,False,Big East,I,PA,"HOCKESSIN, DEL",DE,USA,1.0,False,,False,False
5312749.0,Clara Bielefeld,2628,Horned Frogs,TCU Horned Frogs,TCU,Guard,G,30,389.0,23.0,55.0,5.0,24.0,9.0,14.0,27.0,63.0,90.0,26.0,7.0,15.0,21.0,34.0,60.0,0,78.8,54.7,13.0,2.0,3.0,0.9,0.2,0.5,0.7,6.2,9.3,2.7,0.7,1.5,2.2,41.8,20.8,64.3,46.4,49.1,3.0,True,76.0,Freshman,GUARD,,False,Big 12,I,TX,"RECKLINGHAUSEN, GERMANY",,GERMANY,1.0,False,Texas,False,False
5312750.0,Emily Hunter,2628,Horned Frogs,TCU Horned Frogs,TCU,Center,C,7,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0,93.1,47.4,1.9,0.0,0.4,0.1,0.0,0.3,0.1,0.0,9.2,3.1,0.0,6.2,3.1,0.0,,,0.0,0.0,3.0,True,79.0,Freshman,CENTER,,False,Big 12,I,TX,"NOLENSVILLE, TENN",TN,USA,1.0,False,Texas,False,False
5312751.0,Lena Girardi,197,Cowgirls,Oklahoma State Cowgirls,Oklahoma State,Guard,G,28,416.0,71.0,163.0,51.0,128.0,25.0,30.0,18.0,41.0,59.0,11.0,20.0,2.0,23.0,38.0,218.0,0,83.1,63.9,14.9,7.8,2.1,0.4,0.7,0.1,0.8,21.0,5.7,1.1,1.9,0.2,2.2,43.6,39.8,83.3,59.2,61.9,8.0,True,71.0,Freshman,GUARD,,False,Big 12,I,OK,"PURCHASE, NEW YORK",NY,USA,1.0,False,Oklahoma,False,False
5312752.0,Favour Onoh,197,Cowgirls,Oklahoma State Cowgirls,Oklahoma State,Center,C,5,19.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,2.0,0.0,2.0,2.0,4.0,2.0,0,110.0,45.8,3.8,0.4,1.6,0.4,0.0,0.4,0.4,4.2,16.8,4.2,0.0,4.2,4.2,100.0,,,100.0,100.0,8.0,True,77.0,Sophomore,CENTER,,False,Big 12,I,OK,"ENUGU, NIGERIA",,NIGERIA,2.0,False,Oklahoma,False,False
5312793.0,Lilyana Fontcha,227,Rams,Rhode Island Rams,Rhode Island,Center,C,11,56.0,4.0,15.0,0.0,0.0,0.0,0.0,5.0,14.0,19.0,0.0,0.0,2.0,2.0,7.0,8.0,0,70.9,46.9,5.1,0.7,1.7,0.0,0.0,0.2,0.2,5.7,13.6,0.0,0.0,1.4,1.4,26.7,,,26.7,26.7,11.0,True,76.0,Freshman,CENTER,,False,Atlantic 10,I,RI,"STRASBOURG, FRANCE",,FRANCE,1.0,False,,False,False
